,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,air-force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,air-force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2010-11-14',air-force,b'',b'Colorado-Colorado Springs',0,b'W',b'66',b'53',b'22',b'51',b'.431',b'8',b'19',b'.421',b'14',b'22',b'.636',b'12',b'37',b'13',b'6',b'4',b'12',b'19',b'18',b'53',b'.340',b'1',b'14',b'.071',b'16',b'17',b'.941',b'11',b'33',b'8',b'6',b'4',b'12',b'22',False
3,b'2010-11-17',air-force,b'',b'Colorado College',0,b'L(1 OT)',b'57',b'60',b'19',b'51',b'.373',b'3',b'15',b'.200',b'16',b'17',b'.941',b'5',b'35',b'9',b'7',b'5',b'16',b'18',b'19',b'58',b'.328',b'6',b'18',b'.333',b'16',b'23',b'.696',b'10',b'36',b'12',b'5',b'1',b'11',b'16',False
4,b'2010-11-20',air-force,b'',b'Tennessee State',1,b'W',b'87',b'72',b'31',b'50',b'.620',b'6',b'15',b'.400',b'19',b'29',b'.655',b'7',b'31',b'24',b'8',b'3',b'16',b'22',b'21',b'57',b'.368',b'9',b'35',b'.257',b'21',b'23',b'.913',b'13',b'28',b'12',b'7',b'2',b'15',b'24',False
5,b'2010-11-24',air-force,b'@',b'Wofford',1,b'W(1 OT)',b'72',b'66',b'24',b'47',b'.511',b'6',b'12',b'.500',b'18',b'29',b'.621',b'2',b'23',b'13',b'13',b'1',b'15',b'18',b'23',b'68',b'.338',b'8',b'25',b'.320',b'12',b'21',b'.571',b'21',b'45',b'13',b'8',b'3',b'18',b'21',False
6,b'2010-12-02',air-force,b'',b'Cal State Northridge',1,b'W',b'72',b'63',b'21',b'46',b'.457',b'8',b'22',b'.364',b'22',b'30',b'.733',b'3',b'27',b'17',b'10',b'5',b'11',b'17',b'23',b'68',b'.338',b'10',b'31',b'.323',b'7',b'14',b'.500',b'21',b'47',b'17',b'5',b'4',b'19',b'25',False
7,b'2010-12-05',air-force,b'',b'Evansville',1,b'W',b'57',b'56',b'21',b'44',b'.477',b'8',b'20',b'.400',b'7',b'11',b'.636',b'2',b'21',b'17',b'8',b'9',b'9',b'12',b'21',b'55',b'.382',b'10',b'18',b'.556',b'4',b'6',b'.667',b'9',b'32',b'17',b'3',b'0',b'13',b'17',False
8,b'2010-12-08',air-force,b'@',b'Wright State',1,b'L',b'61',b'76',b'22',b'36',b'.611',b'1',b'6',b'.167',b'16',b'21',b'.762',b'1',b'20',b'10',b'3',b'1',b'19',b'22',b'24',b'50',b'.480',b'11',b'22',b'.500',b'17',b'21',b'.810',b'8',b'19',b'13',b'7',b'0',b'12',b'20',False
9,b'2010-12-11',air-force,b'',b'North Carolina Central',1,b'W',b'73',b'56',b'25',b'52',b'.481',b'4',b'16',b'.250',b'19',b'26',b'.731',b'8',b'38',b'12',b'5',b'4',b'13',b'16',b'20',b'58',b'.345',b'6',b'21',b'.286',b'10',b'12',b'.833',b'7',b'27',b'12',b'6',b'5',b'14',b'21',False
