,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2013-11-09',abilene-christian,b'@',b'Duquesne',1,b'L',b'75',b'94',b'22',b'63',b'.349',b'7',b'25',b'.280',b'24',b'32',b'.750',b'9',b'30',b'9',b'3',b'1',b'10',b'26',b'30',b'58',b'.517',b'7',b'19',b'.368',b'27',b'37',b'.730',b'10',b'40',b'19',b'4',b'2',b'10',b'22',False
3,b'2013-11-11',abilene-christian,b'@',b'St. Bonaventure',1,b'L',b'47',b'75',b'14',b'40',b'.350',b'4',b'16',b'.250',b'15',b'26',b'.577',b'9',b'23',b'7',b'2',b'1',b'16',b'30',b'25',b'56',b'.446',b'2',b'14',b'.143',b'23',b'32',b'.719',b'18',b'40',b'15',b'7',b'7',b'9',b'23',False
4,b'2013-11-13',abilene-christian,b'@',b'Maryland',1,b'L',b'44',b'67',b'17',b'54',b'.315',b'10',b'21',b'.476',b'0',b'0',b'',b'3',b'18',b'9',b'6',b'0',b'16',b'15',b'26',b'53',b'.491',b'4',b'18',b'.222',b'11',b'17',b'.647',b'12',b'38',b'12',b'9',b'10',b'17',b'8',False
5,b'2013-11-17',abilene-christian,b'@',b'Iowa',1,b'L',b'41',b'103',b'14',b'54',b'.259',b'3',b'23',b'.130',b'10',b'12',b'.833',b'7',b'27',b'6',b'3',b'0',b'17',b'21',b'38',b'61',b'.623',b'9',b'21',b'.429',b'18',b'22',b'.818',b'5',b'35',b'25',b'11',b'5',b'5',b'10',False
6,b'2013-11-19',abilene-christian,b'@',b'TCU',1,b'L',b'64',b'71',b'19',b'50',b'.380',b'9',b'20',b'.450',b'17',b'25',b'.680',b'10',b'36',b'13',b'4',b'2',b'13',b'26',b'22',b'48',b'.458',b'3',b'13',b'.231',b'24',b'37',b'.649',b'8',b'30',b'11',b'7',b'3',b'6',b'20',False
7,b'2013-11-22',abilene-christian,b'N',b'Western New Mexico',0,b'W',b'62',b'44',b'16',b'41',b'.390',b'5',b'21',b'.238',b'25',b'33',b'.758',b'12',b'37',b'11',b'10',b'4',b'20',b'16',b'17',b'49',b'.347',b'3',b'13',b'.231',b'7',b'11',b'.636',b'6',b'17',b'9',b'12',b'3',b'13',b'22',False
8,b'2013-11-23',abilene-christian,b'N',b'Northern New Mexico',0,b'W',b'78',b'56',b'27',b'63',b'.429',b'10',b'22',b'.455',b'14',b'20',b'.700',b'12',b'41',b'19',b'10',b'0',b'20',b'24',b'18',b'50',b'.360',b'5',b'18',b'.278',b'15',b'28',b'.536',b'11',b'34',b'11',b'4',b'1',b'22',b'23',False
9,b'2013-11-25',abilene-christian,b'@',b'Xavier',1,b'L',b'65',b'93',b'23',b'53',b'.434',b'9',b'24',b'.375',b'10',b'14',b'.714',b'3',b'19',b'11',b'3',b'3',b'11',b'24',b'33',b'57',b'.579',b'6',b'13',b'.462',b'21',b'36',b'.583',b'16',b'45',b'18',b'8',b'7',b'8',b'16',False
10,b'2013-11-29',abilene-christian,b'N',b'West Alabama',0,b'L',b'67',b'77',b'21',b'54',b'.389',b'9',b'22',b'.409',b'16',b'25',b'.640',b'6',b'22',b'12',b'6',b'4',b'9',b'27',b'21',b'46',b'.457',b'5',b'17',b'.294',b'30',b'33',b'.909',b'6',b'31',b'7',b'5',b'6',b'12',b'21',False
