,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2015-11-13',abilene-christian,b'',b'University of the Southwest',0,b'W',b'94',b'63',b'37',b'73',b'.507',b'5',b'15',b'.333',b'15',b'21',b'.714',b'16',b'45',b'23',b'14',b'2',b'12',b'23',b'23',b'57',b'.404',b'5',b'18',b'.278',b'12',b'17',b'.706',b'8',b'28',b'6',b'1',b'1',b'25',b'19',False
3,b'2015-11-17',abilene-christian,b'',b'Howard Payne',0,b'W',b'70',b'56',b'27',b'55',b'.491',b'3',b'8',b'.375',b'13',b'23',b'.565',b'9',b'31',b'14',b'13',b'3',b'16',b'25',b'19',b'47',b'.404',b'4',b'13',b'.308',b'14',b'22',b'.636',b'9',b'29',b'5',b'6',b'3',b'23',b'23',False
4,b'2015-11-22',abilene-christian,b'@',b'Portland',1,b'L',b'57',b'87',b'15',b'52',b'.288',b'5',b'19',b'.263',b'22',b'32',b'.688',b'10',b'31',b'9',b'7',b'1',b'20',b'20',b'33',b'64',b'.516',b'11',b'22',b'.500',b'10',b'19',b'.526',b'8',b'35',b'16',b'10',b'3',b'15',b'27',False
5,b'2015-11-24',abilene-christian,b'@',b'Colorado State',1,b'L(2 OT)',b'100',b'108',b'33',b'70',b'.471',b'14',b'30',b'.467',b'20',b'24',b'.833',b'6',b'31',b'23',b'5',b'3',b'10',b'29',b'36',b'73',b'.493',b'9',b'24',b'.375',b'27',b'33',b'.818',b'11',b'39',b'18',b'2',b'3',b'10',b'22',False
6,b'2015-11-27',abilene-christian,b'N',b'Florida A&M',1,b'W',b'72',b'62',b'23',b'51',b'.451',b'7',b'15',b'.467',b'19',b'25',b'.760',b'9',b'36',b'8',b'9',b'5',b'17',b'22',b'24',b'58',b'.414',b'2',b'14',b'.143',b'12',b'22',b'.545',b'7',b'26',b'12',b'5',b'4',b'16',b'22',False
7,b'2015-11-28',abilene-christian,b'N',b'Oakland',1,b'L',b'57',b'85',b'20',b'64',b'.313',b'3',b'21',b'.143',b'14',b'19',b'.737',b'14',b'33',b'8',b'7',b'4',b'9',b'18',b'32',b'64',b'.500',b'10',b'17',b'.588',b'11',b'17',b'.647',b'13',b'42',b'17',b'3',b'2',b'10',b'16',False
8,b'2015-12-03',abilene-christian,b'',b'New Hampshire',1,b'L',b'75',b'86',b'24',b'50',b'.480',b'8',b'15',b'.533',b'19',b'24',b'.792',b'4',b'29',b'12',b'3',b'4',b'12',b'22',b'32',b'60',b'.533',b'6',b'17',b'.353',b'16',b'24',b'.667',b'8',b'31',b'18',b'3',b'1',b'13',b'20',False
9,b'2015-12-05',abilene-christian,b'@',b'Nebraska',1,b'L',b'63',b'73',b'22',b'47',b'.468',b'5',b'15',b'.333',b'14',b'17',b'.824',b'2',b'18',b'5',b'8',b'4',b'20',b'23',b'21',b'49',b'.429',b'4',b'16',b'.250',b'27',b'36',b'.750',b'11',b'32',b'10',b'12',b'5',b'12',b'18',False
10,b'2015-12-12',abilene-christian,b'',b'Schreiner',0,b'W',b'69',b'46',b'28',b'52',b'.538',b'7',b'20',b'.350',b'6',b'11',b'.545',b'6',b'32',b'16',b'11',b'2',b'16',b'18',b'17',b'56',b'.304',b'4',b'23',b'.174',b'8',b'14',b'.571',b'12',b'32',b'10',b'8',b'0',b'18',b'14',False
