,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,air-force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,air-force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2012-11-10',air-force,b'N',b'Army',1,b'W',b'76',b'65',b'25',b'50',b'.500',b'6',b'16',b'.375',b'20',b'26',b'.769',b'4',b'28',b'10',b'10',b'4',b'12',b'13',b'23',b'63',b'.365',b'10',b'34',b'.294',b'9',b'10',b'.900',b'11',b'31',b'12',b'1',b'3',b'13',b'21',False
3,b'2012-11-11',air-force,b'N',b'Citadel',1,b'W',b'77',b'70',b'24',b'49',b'.490',b'15',b'34',b'.441',b'14',b'17',b'.824',b'4',b'15',b'14',b'8',b'2',b'7',b'15',b'25',b'44',b'.568',b'8',b'20',b'.400',b'12',b'16',b'.750',b'8',b'27',b'14',b'4',b'1',b'16',b'17',False
4,b'2012-11-15',air-force,b'',b'Western State',0,b'W',b'102',b'68',b'34',b'65',b'.523',b'11',b'26',b'.423',b'23',b'37',b'.622',b'13',b'38',b'26',b'14',b'1',b'5',b'19',b'23',b'53',b'.434',b'10',b'32',b'.313',b'12',b'26',b'.462',b'9',b'34',b'16',b'3',b'1',b'19',b'23',False
5,b'2012-11-18',air-force,b'',b'Regis (CO)',0,b'W',b'83',b'43',b'33',b'65',b'.508',b'9',b'25',b'.360',b'8',b'14',b'.571',b'13',b'42',b'17',b'8',b'4',b'15',b'12',b'15',b'49',b'.306',b'5',b'25',b'.200',b'8',b'10',b'.800',b'4',b'24',b'11',b'5',b'2',b'22',b'16',False
6,b'2012-11-21',air-force,b'',b'Montana State',1,b'W',b'86',b'72',b'35',b'59',b'.593',b'10',b'22',b'.455',b'6',b'11',b'.545',b'9',b'39',b'25',b'5',b'5',b'12',b'18',b'27',b'62',b'.435',b'8',b'23',b'.348',b'10',b'17',b'.588',b'10',b'25',b'11',b'7',b'5',b'9',b'14',False
7,b'2012-11-25',air-force,b'@',b'Colorado',1,b'L',b'74',b'89',b'27',b'60',b'.450',b'12',b'30',b'.400',b'8',b'14',b'.571',b'4',b'17',b'11',b'7',b'1',b'6',b'21',b'30',b'53',b'.566',b'7',b'13',b'.538',b'22',b'28',b'.786',b'14',b'45',b'11',b'4',b'3',b'15',b'14',False
8,b'2012-11-28',air-force,b'',b'Jackson State',1,b'W',b'76',b'47',b'29',b'53',b'.547',b'11',b'23',b'.478',b'7',b'16',b'.438',b'7',b'40',b'20',b'3',b'1',b'14',b'23',b'14',b'46',b'.304',b'4',b'23',b'.174',b'15',b'27',b'.556',b'4',b'22',b'8',b'9',b'1',b'13',b'18',False
9,b'2012-12-02',air-force,b'',b'Wichita State',1,b'L',b'69',b'72',b'25',b'55',b'.455',b'5',b'16',b'.313',b'14',b'25',b'.560',b'6',b'19',b'17',b'11',b'1',b'9',b'13',b'28',b'48',b'.583',b'6',b'19',b'.316',b'10',b'14',b'.714',b'5',b'32',b'21',b'5',b'1',b'19',b'23',False
