,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
11284,b'2016-11-22',texas-pan-american,b'@',b'Southeast Missouri State',1,b'L',b'72',b'83',b'25',b'56',b'.446',b'9',b'21',b'.429',b'13',b'17',b'.765',b'7',b'28',b'13',b'5',b'1',b'13',b'20',b'29',b'61',b'.475',b'9',b'19',b'.474',b'16',b'22',b'.727',b'13',b'37',b'19',b'6',b'1',b'12',b'17',False
11285,b'2016-11-25',texas-pan-american,b'N',b'Grambling',1,b'W(1 OT)',b'101',b'93',b'35',b'65',b'.538',b'17',b'36',b'.472',b'14',b'18',b'.778',b'9',b'24',b'26',b'10',b'2',b'19',b'25',b'36',b'74',b'.486',b'4',b'18',b'.222',b'17',b'27',b'.630',b'21',b'39',b'15',b'10',b'1',b'18',b'19',False
11286,b'2016-11-26',texas-pan-american,b'N',b'St. Francis (NY)',1,b'W',b'71',b'61',b'26',b'66',b'.394',b'2',b'15',b'.133',b'17',b'22',b'.773',b'13',b'37',b'6',b'4',b'1',b'6',b'19',b'20',b'58',b'.345',b'7',b'24',b'.292',b'14',b'24',b'.583',b'11',b'40',b'7',b'5',b'0',b'11',b'19',False
11287,b'2016-11-29',texas-pan-american,b'@',b'Texas A&M-Corpus Christi',1,b'L',b'68',b'84',b'27',b'66',b'.409',b'4',b'21',b'.190',b'10',b'12',b'.833',b'14',b'37',b'11',b'7',b'1',b'21',b'29',b'28',b'50',b'.560',b'4',b'13',b'.308',b'24',b'36',b'.667',b'5',b'25',b'14',b'12',b'8',b'15',b'14',False
11288,b'2016-12-03',texas-pan-american,b'@',b'Portland State',1,b'L',b'74',b'87',b'27',b'56',b'.482',b'9',b'25',b'.360',b'11',b'18',b'.611',b'8',b'28',b'17',b'10',b'3',b'16',b'15',b'32',b'56',b'.571',b'13',b'22',b'.591',b'10',b'14',b'.714',b'3',b'19',b'23',b'12',b'1',b'13',b'17',False
11289,b'2016-12-05',texas-pan-american,b'@',b'Portland',1,b'L(2 OT)',b'89',b'90',b'35',b'80',b'.438',b'10',b'31',b'.323',b'9',b'16',b'.563',b'13',b'47',b'15',b'8',b'4',b'16',b'32',b'30',b'68',b'.441',b'7',b'24',b'.292',b'23',b'41',b'.561',b'10',b'43',b'17',b'12',b'4',b'14',b'17',False
11290,b'2016-12-07',texas-pan-american,b'',b'Texas State',1,b'W',b'72',b'61',b'25',b'53',b'.472',b'13',b'27',b'.481',b'9',b'12',b'.750',b'4',b'25',b'21',b'5',b'4',b'15',b'17',b'21',b'51',b'.412',b'6',b'17',b'.353',b'13',b'23',b'.565',b'11',b'35',b'11',b'7',b'4',b'16',b'16',False
11291,b'2016-12-12',texas-pan-american,b'',b'North Florida',1,b'W',b'98',b'84',b'34',b'69',b'.493',b'12',b'28',b'.429',b'18',b'21',b'.857',b'5',b'29',b'21',b'9',b'6',b'12',b'26',b'27',b'62',b'.435',b'7',b'20',b'.350',b'23',b'33',b'.697',b'10',b'33',b'13',b'3',b'0',b'17',b'19',False
11292,b'2016-12-16',texas-pan-american,b'',b'Lamar',1,b'W',b'95',b'81',b'37',b'63',b'.587',b'9',b'21',b'.429',b'12',b'19',b'.632',b'11',b'38',b'20',b'8',b'7',b'21',b'27',b'27',b'66',b'.409',b'5',b'18',b'.278',b'22',b'36',b'.611',b'13',b'30',b'15',b'6',b'0',b'16',b'20',False
11293,b'2016-12-17',texas-pan-american,b'@',b'Houston',1,b'L',b'58',b'83',b'20',b'57',b'.351',b'8',b'20',b'.400',b'10',b'12',b'.833',b'12',b'28',b'13',b'5',b'1',b'18',b'22',b'29',b'56',b'.518',b'10',b'28',b'.357',b'15',b'20',b'.750',b'12',b'33',b'17',b'11',b'6',b'14',b'18',False
