,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2014-11-14',abilene-christian,b'',b'Hillsdale',0,b'W',b'101',b'61',b'39',b'69',b'.565',b'12',b'25',b'.480',b'11',b'16',b'.688',b'10',b'38',b'24',b'14',b'1',b'14',b'31',b'16',b'45',b'.356',b'0',b'13',b'.000',b'29',b'39',b'.744',b'7',b'25',b'3',b'2',b'2',b'22',b'20',False
3,b'2014-11-19',abilene-christian,b'@',b'Tulsa',1,b'L',b'39',b'65',b'15',b'55',b'.273',b'5',b'22',b'.227',b'4',b'7',b'.571',b'9',b'26',b'12',b'9',b'2',b'13',b'22',b'23',b'49',b'.469',b'5',b'14',b'.357',b'14',b'25',b'.560',b'13',b'42',b'12',b'8',b'7',b'14',b'11',False
4,b'2014-11-22',abilene-christian,b'',b'Duquesne',1,b'L',b'81',b'102',b'25',b'62',b'.403',b'6',b'14',b'.429',b'25',b'32',b'.781',b'9',b'27',b'11',b'6',b'1',b'11',b'26',b'34',b'57',b'.596',b'12',b'23',b'.522',b'22',b'34',b'.647',b'9',b'39',b'13',b'6',b'5',b'15',b'26',False
5,b'2014-11-25',abilene-christian,b'',b'Jarvis Christian',0,b'W',b'91',b'65',b'32',b'72',b'.444',b'10',b'30',b'.333',b'17',b'25',b'.680',b'19',b'40',b'25',b'13',b'2',b'14',b'25',b'20',b'42',b'.476',b'7',b'14',b'.500',b'18',b'29',b'.621',b'7',b'31',b'6',b'7',b'2',b'30',b'23',False
6,b'2014-11-29',abilene-christian,b'@',b'UC-Riverside',1,b'L',b'56',b'76',b'19',b'53',b'.358',b'7',b'16',b'.438',b'11',b'13',b'.846',b'6',b'19',b'10',b'10',b'3',b'12',b'15',b'28',b'58',b'.483',b'8',b'16',b'.500',b'12',b'19',b'.632',b'17',b'44',b'15',b'8',b'5',b'15',b'14',False
7,b'2014-12-04',abilene-christian,b'',b'Sacramento State',1,b'W',b'72',b'61',b'23',b'45',b'.511',b'7',b'17',b'.412',b'19',b'24',b'.792',b'5',b'26',b'17',b'2',b'0',b'17',b'23',b'17',b'53',b'.321',b'5',b'21',b'.238',b'22',b'31',b'.710',b'17',b'32',b'9',b'10',b'3',b'14',b'22',False
8,b'2014-12-06',abilene-christian,b'@',b'Houston',1,b'L',b'59',b'71',b'22',b'67',b'.328',b'8',b'31',b'.258',b'7',b'8',b'.875',b'11',b'31',b'14',b'4',b'2',b'10',b'20',b'22',b'50',b'.440',b'10',b'22',b'.455',b'17',b'23',b'.739',b'9',b'37',b'15',b'3',b'7',b'11',b'13',False
9,b'2014-12-13',abilene-christian,b'',b'Northern New Mexico',0,b'W',b'76',b'48',b'24',b'61',b'.393',b'7',b'18',b'.389',b'21',b'27',b'.778',b'12',b'32',b'13',b'10',b'2',b'12',b'28',b'11',b'47',b'.234',b'3',b'14',b'.214',b'23',b'33',b'.697',b'9',b'35',b'4',b'7',b'2',b'23',b'22',False
10,b'2014-12-17',abilene-christian,b'@',b'Loyola (IL)',1,b'L',b'44',b'83',b'14',b'55',b'.255',b'6',b'22',b'.273',b'10',b'12',b'.833',b'6',b'15',b'7',b'10',b'0',b'10',b'18',b'27',b'42',b'.643',b'9',b'14',b'.643',b'20',b'26',b'.769',b'6',b'41',b'17',b'5',b'2',b'14',b'13',False
