,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2017-11-10',abilene-christian,b'',b'Hillsdale',0,b'W',b'86',b'68',b'32',b'61',b'.525',b'4',b'16',b'.250',b'18',b'28',b'.643',b'10',b'44',b'16',b'9',b'5',b'18',b'18',b'26',b'71',b'.366',b'10',b'29',b'.345',b'6',b'11',b'.545',b'11',b'34',b'11',b'4',b'2',b'17',b'23',False
3,b'2017-11-13',abilene-christian,b'@',b'Arkansas State',1,b'L',b'69',b'83',b'25',b'49',b'.510',b'3',b'17',b'.176',b'16',b'20',b'.800',b'6',b'20',b'11',b'4',b'2',b'14',b'24',b'28',b'50',b'.560',b'7',b'14',b'.500',b'20',b'26',b'.769',b'9',b'29',b'9',b'7',b'1',b'14',b'19',False
4,b'2017-11-16',abilene-christian,b'',b'Howard Payne',0,b'W',b'112',b'62',b'42',b'67',b'.627',b'9',b'19',b'.474',b'19',b'24',b'.792',b'11',b'44',b'24',b'12',b'3',b'10',b'23',b'16',b'51',b'.314',b'6',b'29',b'.207',b'24',b'30',b'.800',b'5',b'21',b'6',b'2',b'0',b'18',b'20',False
5,b'2017-11-20',abilene-christian,b'',b'Lipscomb',1,b'L',b'67',b'75',b'25',b'56',b'.446',b'6',b'20',b'.300',b'11',b'18',b'.611',b'6',b'30',b'14',b'7',b'2',b'16',b'20',b'27',b'54',b'.500',b'7',b'21',b'.333',b'14',b'20',b'.700',b'6',b'34',b'13',b'6',b'0',b'18',b'21',False
6,b'2017-11-24',abilene-christian,b'@',b'Campbell',1,b'W(1 OT)',b'85',b'80',b'33',b'65',b'.508',b'8',b'14',b'.571',b'11',b'11',b'1.000',b'4',b'29',b'21',b'8',b'4',b'14',b'18',b'27',b'55',b'.491',b'6',b'20',b'.300',b'20',b'25',b'.800',b'5',b'28',b'15',b'4',b'7',b'14',b'14',False
7,b'2017-11-25',abilene-christian,b'N',b'USC Upstate',1,b'L',b'78',b'88',b'27',b'58',b'.466',b'8',b'23',b'.348',b'16',b'17',b'.941',b'10',b'27',b'13',b'8',b'1',b'11',b'14',b'29',b'54',b'.537',b'13',b'29',b'.448',b'17',b'18',b'.944',b'6',b'27',b'17',b'7',b'2',b'12',b'12',False
8,b'2017-11-26',abilene-christian,b'N',b'Bowling Green State',1,b'W',b'88',b'83',b'34',b'64',b'.531',b'6',b'16',b'.375',b'14',b'18',b'.778',b'10',b'36',b'18',b'2',b'6',b'8',b'18',b'30',b'72',b'.417',b'8',b'24',b'.333',b'15',b'22',b'.682',b'17',b'37',b'9',b'4',b'3',b'8',b'18',False
9,b'2017-12-02',abilene-christian,b'',b'Schreiner',0,b'W',b'71',b'43',b'30',b'65',b'.462',b'4',b'19',b'.211',b'7',b'14',b'.500',b'6',b'37',b'23',b'19',b'3',b'13',b'22',b'11',b'45',b'.244',b'6',b'24',b'.250',b'15',b'27',b'.556',b'9',b'35',b'6',b'5',b'3',b'26',b'16',False
10,b'2017-12-06',abilene-christian,b'@',b'Air Force',1,b'W',b'62',b'58',b'23',b'54',b'.426',b'9',b'25',b'.360',b'7',b'15',b'.467',b'7',b'24',b'11',b'8',b'4',b'12',b'16',b'25',b'51',b'.490',b'3',b'18',b'.167',b'5',b'8',b'.625',b'5',b'33',b'15',b'5',b'2',b'20',b'14',False
