,Date,TEAM,homeStatus,Opponent,oppHasLink,winner,pointsFor,pointsAllowed,FG,FGA,FG_pc,3P,3PA,3P_pc,FT,FTA,FT_pc,ORB,TRB,AST,STL,BLK,TOV,PF,FG_opp,FGA_opp,FG_pc_opp,3P_opp,3PA_opp,3P_pc_opp,FT_opp,FTA_opp,FT_pc_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,tourneyGame
0,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,abilene-christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,b'2018-11-06',abilene-christian,b'',b'Arlington Baptist',0,b'W',b'107',b'54',b'41',b'66',b'.621',b'11',b'23',b'.478',b'14',b'21',b'.667',b'13',b'38',b'26',b'13',b'6',b'11',b'20',b'18',b'49',b'.367',b'5',b'12',b'.417',b'13',b'18',b'.722',b'4',b'17',b'5',b'2',b'0',b'22',b'0',False
3,b'2018-11-09',abilene-christian,b'',b'Arkansas State',1,b'W',b'94',b'73',b'31',b'55',b'.564',b'8',b'14',b'.571',b'24',b'31',b'.774',b'11',b'38',b'17',b'8',b'0',b'18',b'27',b'26',b'59',b'.441',b'6',b'17',b'.353',b'15',b'24',b'.625',b'9',b'26',b'13',b'6',b'2',b'16',b'23',False
4,b'2018-11-15',abilene-christian,b'@',b'Denver',1,b'W',b'67',b'61',b'22',b'49',b'.449',b'10',b'24',b'.417',b'13',b'16',b'.813',b'5',b'26',b'16',b'5',b'5',b'9',b'15',b'25',b'51',b'.490',b'9',b'15',b'.600',b'2',b'11',b'.182',b'9',b'31',b'11',b'1',b'4',b'15',b'18',False
5,b'2018-11-22',abilene-christian,b'N',b'Elon',1,b'W',b'72',b'56',b'29',b'56',b'.518',b'11',b'18',b'.611',b'3',b'6',b'.500',b'8',b'27',b'19',b'4',b'1',b'6',b'21',b'18',b'40',b'.450',b'7',b'20',b'.350',b'13',b'19',b'.684',b'5',b'24',b'15',b'3',b'2',b'11',b'15',False
6,b'2018-11-23',abilene-christian,b'@',b'Pacific',1,b'W',b'73',b'71',b'28',b'56',b'.500',b'5',b'15',b'.333',b'12',b'18',b'.667',b'6',b'27',b'10',b'4',b'2',b'9',b'28',b'20',b'46',b'.435',b'3',b'13',b'.231',b'28',b'37',b'.757',b'8',b'29',b'5',b'6',b'3',b'9',b'19',False
7,b'2018-11-24',abilene-christian,b'N',b'UC-Riverside',1,b'W',b'60',b'48',b'22',b'53',b'.415',b'4',b'10',b'.400',b'12',b'19',b'.632',b'14',b'32',b'10',b'6',b'1',b'6',b'15',b'18',b'46',b'.391',b'3',b'14',b'.214',b'9',b'15',b'.600',b'9',b'29',b'6',b'2',b'2',b'15',b'20',False
8,b'2018-11-27',abilene-christian,b'',b'Howard Payne',0,b'W',b'90',b'53',b'37',b'61',b'.607',b'6',b'20',b'.300',b'10',b'18',b'.556',b'10',b'28',b'21',b'19',b'3',b'16',b'15',b'19',b'42',b'.452',b'6',b'14',b'.429',b'9',b'16',b'.563',b'4',b'20',b'10',b'8',b'1',b'28',b'13',False
9,b'2018-12-01',abilene-christian,b'@',b'Pepperdine',1,b'L',b'62',b'77',b'25',b'62',b'.403',b'4',b'18',b'.222',b'8',b'13',b'.615',b'8',b'29',b'13',b'9',b'1',b'11',b'24',b'22',b'46',b'.478',b'8',b'18',b'.444',b'25',b'30',b'.833',b'5',b'33',b'16',b'6',b'2',b'15',b'16',False
10,b'2018-12-04',abilene-christian,b'',b'Campbell',1,b'W',b'83',b'68',b'27',b'48',b'.563',b'7',b'14',b'.500',b'22',b'26',b'.846',b'3',b'18',b'11',b'14',b'0',b'10',b'23',b'22',b'45',b'.489',b'3',b'14',b'.214',b'21',b'28',b'.750',b'9',b'30',b'6',b'4',b'2',b'22',b'19',False
11,b'2018-12-08',abilene-christian,b'',b'Schreiner',0,b'W',b'93',b'53',b'32',b'55',b'.582',b'11',b'21',b'.524',b'18',b'24',b'.750',b'10',b'32',b'22',b'10',b'4',b'17',b'20',b'19',b'52',b'.365',b'5',b'19',b'.263',b'10',b'14',b'.714',b'10',b'21',b'5',b'6',b'1',b'20',b'23',False
